id_a,company_name_a,id_b,company_name_b,best_match_score
250279,l unionl ardennais,70446,l unionl ardennais,2.4462349885813777
26832,west suffolk college,200405,west suffolk college,1.921577837767507
379181,talentia software,385229,talentia software,1.8169101931737819
53405,sonovision group,198770,sonovision group,1.814262263639332
173694,allianz worldwide partners,105136,allianz partners,1.7885097839516426
105881,the walt disney company,422549,the walt disney company,1.752841966864614
186369,cimpa,41575,cimpa plm services,1.7228282855031987
73781,club freelance,197660,club freelance,1.7199714552881078
24380,northern ireland electricity networks (nie networks),218652,northern ireland electricity networks limited,1.7001619963110675
14976,novancia business school paris,206596,novancia business school paris,1.6140137554781007
28328,cafés richard,304376,cafés richard,1.594790670204767
45185,cylad consulting,11266,cylad consulting,1.5901143511943385
55374,eurogroup consulting,193733,eurogroup consulting,1.5466938776217682
31698,azalai hotels,207709,azalaï hotels,1.5089425426443117
31524,antenor,226123,antenor,1.4983921604328354
248766,vlerick business school,252350,vlerick business school,1.4976043324671922
216491,hr path,45260,hr path,1.4861619954405647
191897,escp europe,12685,escp europe,1.4590457325688424
230741,zenchef,45416,zenchef,1.4077037905731915
57087,antemeta,177781,antemeta,1.3555810172278862
63141,eurowin consulting group,185056,eurowin consulting group,1.349753199342144
10489,welcome to the jungle,20127,welcome to the jungle,1.3481457703871615
41745,ucanss,301662,ucanss,1.343839530959816
333362,snapcall,338032,web.snapcall.io,1.3019871427215155
21155,club identicar,228012,identicar,1.3006497043326297
252615,baume & mercier,267842,baume & mercier,1.2855505640621723
43418,grand union housing group,214560,grand union housing group,1.2420208777693937
160555,le groupe la poste,222857,le groupe la poste paris,1.2349450974190639
227480,carmeuse,49725,carmeuse group,1.2275630454416906
267881,vestiaire collective,105700,vestiaire collective,1.2138160274632157
75879,brocante lab,228466,brocante lab,1.2109100095667347
29084,etan,304060,etan,1.2088890371515397
268026,christian lacroix,106059,christian lacroix,1.2067960703501888
302324,tvh consulting,49996,tvh consulting,1.2066204091570512
268331,elan edelman,256021,elan edelman,1.1863748309217972
72614,fullsix,211875,fullsix,1.1756744577466771
64240,fendi,34224,fendi,1.1696643427527342
191647,giii apparel group,35496,giii apparel group,1.1279904600498902
33701,saint james albany,198814,les hotels saint james albany,1.1223021277633976
11200,trusk,40535,trusk,1.11644577294355
40458,carte noire,308118,carte noire,1.1071733020103365
40149,groupe bsl,212089,groupe bsl,1.102839072275733
64261,seinesaintdenis.fr,303212,seinesaintdenis.fr,1.100272080323726
303657,ecov,75372,ecov,1.0960538939613238
15899,bruker,187965,bruker corp,1.0787098897470038
240531,gouiran beauté,267785,gouiran beauté,1.0610814300444085
181091,france média monde,68516,france médias monde,1.058775255538928
132131,la choppe daguerre,108616,la chope daguerre,1.04683470362758
143115,jean burger le restau,2479,jean burger restau,1.0219625139632846
333811,javelo,169849,javelo,1.0174590355391209
267591,l occitane en provence,388475,l occitane,1.0024941506414564
47418,engie,39205,engie,1.0007070722700766
47440,ofaj/dfjw,98323,ofaj france,1.000636562369299
306810,gcs sesan,57026,gcs sesan,0.9919400149788387
104785,iadvize,244191,"iadvize, inc.",0.9869224334998263
317705,banque populaire aquitaine centre atlantique,343632,banque populaire aquitaine centre atlantique,0.9775092741082465
224100,bhs,70497,bhs limited,0.9705459661817534
13067,sensiolabs,228269,sensiolabs,0.9109765296947122
87970,radius payment solutions,71530,radius payment solutiions,0.8940143786795052
57732,lumapps  the social intranet recommended by google,405266,lumapps,0.8936283344472549
36271,toit et joie,304454,toit et joie,0.8912845143395473
253062,splio,333503,splio,0.8833030094845081
5508,sas villert  mousse touch,123904,sas villert la mousse touch,0.8795251046476775
343418,groupama protection juridique,320461,groupama protection juridique,0.8762427672215172
234818,maje (smcp),267301,maje (groupe smcp),0.8754782762645484
105137,myprm,240729,myprm,0.8739832482636861
202766,ahlstrom brignoud,20992,ahlstrommunksjö,0.8651585446561133
310213,celio,311160,chronopost,0.8540045822874016
342315,air liquide healthcare,318009,air liquide healthcare,0.8494441500885195
46844,ovh ltd,379045,ovh ltd,0.8220526044221362
369662,balenciaga,351570,balenciaga,0.8136580760459144
350407,adecco,181080,adecco,0.8062672074586045
267612,veja,232119,veja,0.8041289416190056
220251,trainline,44803,trainline,0.8035224383069923
304258,attila,47573,attila système,0.7939194186021471
49921,"eras, sas",199239,eras ingénierie,0.7906414203619433
250701,beneteau,250827,beneteau s.a.,0.7797882320785359
185846,the university of northampton,59078,the university of northampton innovation centre,0.7792995397630105
45104,cuisines aviva,204871,cuisines aviva,0.7620545393363144
216654,periscope,263564,periscope creations,0.7503872201728644
359121,smartelia,240213,smartelia,0.7388725514161685
3606,ten belles bread (parent),785,ten belles bread,0.7304574266525006
33594,initium consulting,185491,initium consulting,0.7295115932016712
19929,oxford brookes university,216916,oxford brookes university,0.7291094149273162
52152,l hôtellerie restauration,103925,l hôtellerie restauration,0.728516857724467
344230,groupama paris val de loire,322054,groupama paris val de loire,0.7202120772712631
146949,le tôt ou tard,154149,le tot ou tard,0.7197294537614378
91281,"ajc ingenierie, formation",19187,ajc ingenierie,0.71864560410376
97610,printemps,251765,printemps,0.7132075411562935
342647,groupama loire bretagne,318250,groupama loire bretagne,0.7126355183626462
322074,parfums christian dior,81037,christian dior parfums,0.7087264862398565
101215,synchrotron soleil,172905,synchrotron soleil,0.7080214474023644
195313,snef,53918,snef,0.7064399737188819
311577,crédit agricole assurances,311160,chronopost,0.6995815195803112
100277,petit forestier,178543,petit forestier,0.697987114213565
43798,altitude infrastructure,303049,altitude infrastructure,0.6902838781600222
319275,bnp paribas securities services,342443,bnp paribas securities services,0.6882676079542847
96083,limagrain,74156,limagrain,0.6616138882274429
91611,kedge business school,178000,kedge business school,0.6535742504558569
19845,manoir industries,173207,manoir industries,0.6526127758059713
11847,dailymotion,95373,dailymotion france,0.6489489076007064
89220,universal music group,311216,universal music group,0.6439898209907438
256526,groupe bogart,105463,bogart,0.6398443412093306
104308,jm weston,258773,jm weston,0.6384437900593775
342169,crédit agricole consumer finance,317505,crédit agricole consumer finance france,0.6289116873242412
310013,caisse d epargne normandie,352625,caisse d épargne,0.620577775325791
1985,bistrot colette,116984,bistrot colette,0.6082792124050024
902,la dolce vita,119310,la dolce vita,0.6073921772507577
317656,square management,60970,square management,0.6034429770233399
185593,paris saint germain,46347,paris saint germain,0.5899274771167933
232345,ag2r la mondiale,220704,ag2r  la mondiale,0.5809122268950901
104536,decathlon,350959,decathlon,0.5778389929085829
350687,orange bank,242833,orange bank,0.5759844911045486
342530,la francaise des jeux,423062,la française des jeux  fdj,0.5731031685944229
29577,mediamarktsaturn,225576,mediamarktsaturn,0.5729580910058208
240280,ovh ltd,191579,ovh ltd,0.567795329086706
321548,francis lefebvre formation,342656,francis lefebvre formation,0.5639364316969823
175341,institut laue langevin,50049,institut laue langevin,0.5617285432767071
343830,armand thiery,320011,armand thierry,0.5605657218927137
342833,groupama centre manche,319585,groupama centre manche,0.5540390289585433
252936,samsonite europe,265679,samsonite,0.5535728861218524
81465,deutsche telekom medien gmbh  dach,418813,deutsche telekom service gmbh,0.5523534165393631
34261,progressive recruitment,76287,progressive computer recruitment ltd,0.5521732005649947
330055,studyrama,79693,studyrama,0.5520553755034826
235486,bnp paribas cardif,352479,bnp paribas cardif,0.5515939499572879
256720,madnetwork,243002,mad network,0.5514324656461697
14509,general cable corporation,302309,general cable,0.549125068822974
321141,eovi mcd mutuelle,344626,eovi mcd mutuelle,0.5474414309743125
254613,hunkemöller,241947,hunkemöller deutschland,0.5363211983201387
332980,cleverconnect,333786,cleverconnect,0.5307520475328814
153411,le boeuf sur la place,1519,le boeuf sur la place,0.526552850623328
321247,icf habitat,342829,icf habitat,0.5224069002551348
18696,groupamaoc.fr,251243,groupamaoc.fr,0.5197000178394856
345122,ministere de l europe et des affaires etrangeres,321120,ministère des affaires étrangères,0.5063796960679389
319525,edhec business school,344012,edhec business school,0.5059243420471742
366938,harmonie mutuelle,352362,harmonie mutuelle,0.5027972019029154
324737,cci vendee,223869,cci de la vendée,0.49827749637695024
96736,xilinx,41693,xilinx,0.4784599406984203
233879,puy du fou,357724,puy du fou,0.47802284593056077
307136,digital security,26452,digital security  econocom,0.47258908043938075
321795,oui.sncf,344045,oui sncf,0.4725220807665179
105721,viajes el corte ingles s.a.,397953,viajes el corte ingles,0.4698640819503156
3129,sogepar,284467,sogepar,0.46339159187132906
41798,vinci airports,255020,vinci airports,0.4601160965650954
232606,vinci airports,255020,vinci airports,0.4601160965650954
213929,communauté d agglomération de saint quentin en yvelines,54179,communauté d agglomération de saintquentinenyvelines,0.45610327832175057
104406,groupe la depeche du midi,82637,la dépêche du midi,0.45415209866556155
178707,go sport,100722,go sport,0.4520623665308456
9113,equinoxcognizant,162170,cognizant,0.4514847517301877
317746,auchan retail,352305,auchan retail italia,0.44970494125928895
